trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.009, 'e': 0.9910403787728836}",20,0,-71.86299577394765,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.009, 'e': 0.9821610323583008}",20,0,-40.270500714059764,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.009, 'e': 0.9733612415243368}",20,0,-66.04084660259903,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.009, 'e': 0.9646402934831231}",25,0,-106.87496439153227,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.009, 'e': 0.9559974818331}",20,8,-10.917660559142956,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.009, 'e': 0.9474321065017983}",25,0,-152.6721183197278,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.009, 'e': 0.9389434736891332}",25,3,-97.38364819501771,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
8,False,"{'a': 0.009, 'e': 0.9305308958112057}",25,0,-210.157266144537,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
9,False,"{'a': 0.009, 'e': 0.922193691444608}",25,0,-136.39067831968123,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.009, 'e': 0.9139311852712282}",20,0,-91.83347022268818,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.009, 'e': 0.9057427080235485}",25,0,-160.12242162374733,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
12,False,"{'a': 0.009, 'e': 0.8976275964304349}",30,0,-104.667486655361,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.009, 'e': 0.8895851931634113}",20,0,-113.34561751006133,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.009, 'e': 0.8816148467834161}",20,9,-38.751562863354,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
15,False,"{'a': 0.009, 'e': 0.8737159116880344}",30,0,-101.78850638042057,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.009, 'e': 0.865887748059205}",20,0,-107.7279078398509,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.009, 'e': 0.8581297218113938}",20,6,-43.28658137030965,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.009, 'e': 0.850441204540233}",25,0,-102.65919885077261,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.009, 'e': 0.8428215734716199}",20,6,-61.6902523195048,"{0: 7, 1: 5, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.009, 'e': 0.835270211411272}",25,0,-79.65111535066653,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.009, 'e': 0.8277865066947336}",25,0,-17.799923677251112,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.009, 'e': 0.8203698531378311}",20,0,-37.834806513399364,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.009, 'e': 0.813019649987571}",25,0,-150.56701187022304,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
24,False,"{'a': 0.009, 'e': 0.8057353018734796}",20,0,-117.7623057331387,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.009, 'e': 0.7985162187593771}",25,0,-152.34818581943782,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.009, 'e': 0.7913618158955839}",25,0,-95.55616227477702,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.009, 'e': 0.7842715137715565}",20,0,-20.48478574677108,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.009, 'e': 0.7772447380689461}",25,0,-89.16717785562169,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.009, 'e': 0.7702809196150792}",20,0,-172.46316379412463,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
30,False,"{'a': 0.009, 'e': 0.7633794943368533}",20,4,-54.935676298870824,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 0}",1
31,False,"{'a': 0.009, 'e': 0.7565399032150474}",30,0,-160.6953330012766,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
32,False,"{'a': 0.009, 'e': 0.7497615922390413}",20,0,-89.58259400847507,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.009, 'e': 0.7430440123619398}",20,0,-127.49074088530071,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.009, 'e': 0.7363866194561001}",20,0,-29.916150468130734,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
35,False,"{'a': 0.009, 'e': 0.7297888742690568}",30,0,-87.93014650807184,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.009, 'e': 0.7232502423798425}",30,0,-71.22679672773965,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.009, 'e': 0.716770194155699}",20,0,-98.40507450017068,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
38,False,"{'a': 0.009, 'e': 0.7103482047091773}",20,0,-92.79937253539573,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
39,False,"{'a': 0.009, 'e': 0.703983753855621}",25,11,-27.82134060217134,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
40,False,"{'a': 0.009, 'e': 0.697676326071031}",30,0,-163.92007427766157,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
41,False,"{'a': 0.009, 'e': 0.6914254104503085}",25,13,-12.29498912438816,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.009, 'e': 0.6852305006658703}",20,0,-33.453115369392904,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.009, 'e': 0.6790910949266369}",25,0,-109.13786615203486,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
44,False,"{'a': 0.009, 'e': 0.6730066959373865}",30,9,9.182377682738014,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.009, 'e': 0.6669768108584744}",20,0,-34.616241307343714,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.009, 'e': 0.6610009512659125}",25,15,-67.55350236501833,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
47,False,"{'a': 0.009, 'e': 0.6550786331118063}",20,1,-62.89350887258411,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 0}",1
48,False,"{'a': 0.009, 'e': 0.6492093766851474}",25,0,-48.672256731274096,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.009, 'e': 0.6433927065729562}",25,0,-55.87470230208761,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
50,False,"{'a': 0.009, 'e': 0.6376281516217733}",20,15,2.4294043356625474,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.009, 'e': 0.6319152448994959}",20,0,-35.05866754491681,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
52,False,"{'a': 0.009, 'e': 0.6262535236575559}",20,2,18.279344755912856,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.009, 'e': 0.6206425292934373}",20,0,-112.39780694686735,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
54,False,"{'a': 0.009, 'e': 0.6150818073135287}",20,0,-184.07575187961083,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
55,False,"{'a': 0.009, 'e': 0.6095709072963094}",20,5,-56.92084481420843,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
56,False,"{'a': 0.009, 'e': 0.6041093828558647}",35,28,10.811065989788473,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.009, 'e': 0.5986967916057292}",20,13,-20.871901981732034,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
58,False,"{'a': 0.009, 'e': 0.5933326951230521}",20,0,-56.74149897131478,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.009, 'e': 0.5880166589130854}",30,0,-95.04669789353497,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.009, 'e': 0.5827482523739898}",20,0,-27.41768773723457,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.009, 'e': 0.5775270487619547}",25,0,-118.12452117981401,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
62,False,"{'a': 0.009, 'e': 0.5723526251566333}",20,0,-182.843145099615,"{0: 12, 1: 1, 2: 1, 3: 3, 4: 3}",0
63,False,"{'a': 0.009, 'e': 0.5672245624268841}",20,7,-0.9604598887326059,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.009, 'e': 0.5621424451968224}",20,4,-55.28808617362373,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 0}",1
65,False,"{'a': 0.009, 'e': 0.5571058618121739}",25,0,-80.24700783309335,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
66,False,"{'a': 0.009, 'e': 0.5521144043069306}",30,0,-183.24422429973546,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
67,False,"{'a': 0.009, 'e': 0.5471676683703055}",35,0,-117.82940033594599,"{0: 25, 1: 3, 2: 5, 3: 0, 4: 2}",0
68,False,"{'a': 0.009, 'e': 0.5422652533139832}",20,10,8.50359327147625,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.009, 'e': 0.5374067620396636}",20,0,-38.155921065960854,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.009, 'e': 0.5325918010068972}",20,0,-37.25505922865943,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 0.009, 'e': 0.5278199802012077}",25,12,-4.883024496351049,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.009, 'e': 0.5230909131025009}",30,11,-46.706322076664264,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 0}",1
73,False,"{'a': 0.009, 'e': 0.518404216653756}",20,0,-57.93892683517713,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
