trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-125.18547910024795,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0}",25,0,-83.3959383740535,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0}",30,0,-245.25338690238848,"{0: 12, 1: 6, 2: 7, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0}",20,0,-102.22162574764927,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0}",20,0,-56.200650516691745,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0}",20,0,-38.18309382561532,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0}",20,0,-84.83614296295839,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0}",25,0,-145.46307937566655,"{0: 10, 1: 4, 2: 10, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0}",20,0,-73.24619269952842,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0}",20,0,-58.36083054095313,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0}",30,0,-220.01633014493288,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0}",30,0,-160.96741055321877,"{0: 15, 1: 7, 2: 4, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0}",20,0,-128.69689228328016,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0}",25,0,-174.10854885859254,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0}",25,0,-94.12273909210985,"{0: 11, 1: 7, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0}",20,0,-57.01798863702107,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0}",25,0,-148.7194677915034,"{0: 11, 1: 3, 2: 8, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0}",20,0,-122.98176737360733,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0}",25,0,-103.1478639112619,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0}",20,0,-49.4815149605064,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-111.17468701015457,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-73.1014918634682,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-152.60002229864654,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-11.279662036651157,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-65.3428641058151,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-130.90430870885933,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-145.0645136053466,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",35,0,-300.99660107456356,"{0: 15, 1: 5, 2: 9, 3: 2, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",30,0,-48.47814663778277,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-162.78636067926203,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
